No,Section,Handle,Title,Type,Colours,Shot,Filename,Position
1,Street / Drop 01,nova-oversized-hoodie,NOVA Oversized Hoodie,Hoodie,Grey / Charcoal / Black,Studio product,nova-oversized-hoodie-01-studio.png,1
1,Street / Drop 01,nova-oversized-hoodie,NOVA Oversized Hoodie,Hoodie,Grey / Charcoal / Black,On model,nova-oversized-hoodie-02-model.png,2
1,Street / Drop 01,nova-oversized-hoodie,NOVA Oversized Hoodie,Hoodie,Grey / Charcoal / Black,Detail / third shot,nova-oversized-hoodie-03-detail.png,3
2,Street / Drop 01,nova-atlas-hoodie,NOVA Atlas Hoodie,Hoodie,Grey / Charcoal,Studio product,nova-atlas-hoodie-01-studio.png,1
2,Street / Drop 01,nova-atlas-hoodie,NOVA Atlas Hoodie,Hoodie,Grey / Charcoal,On model,nova-atlas-hoodie-02-model.png,2
2,Street / Drop 01,nova-atlas-hoodie,NOVA Atlas Hoodie,Hoodie,Grey / Charcoal,Detail / third shot,nova-atlas-hoodie-03-detail.png,3
3,Street / Drop 01,nova-terrain-hoodie,NOVA Terrain Hoodie,Hoodie,Charcoal / Black / Bone,Studio product,nova-terrain-hoodie-01-studio.png,1
3,Street / Drop 01,nova-terrain-hoodie,NOVA Terrain Hoodie,Hoodie,Charcoal / Black / Bone,On model,nova-terrain-hoodie-02-model.png,2
3,Street / Drop 01,nova-terrain-hoodie,NOVA Terrain Hoodie,Hoodie,Charcoal / Black / Bone,Detail / third shot,nova-terrain-hoodie-03-detail.png,3
4,Street / Drop 01,nova-vector-hoodie,NOVA Vector Hoodie,Hoodie,Grey / Charcoal / Black,Studio product,nova-vector-hoodie-01-studio.png,1
4,Street / Drop 01,nova-vector-hoodie,NOVA Vector Hoodie,Hoodie,Grey / Charcoal / Black,On model,nova-vector-hoodie-02-model.png,2
4,Street / Drop 01,nova-vector-hoodie,NOVA Vector Hoodie,Hoodie,Grey / Charcoal / Black,Detail / third shot,nova-vector-hoodie-03-detail.png,3
5,Street / Drop 01,nova-halo-hoodie,NOVA Halo Hoodie,Hoodie,Black / Bone / Grey,Studio product,nova-halo-hoodie-01-studio.png,1
5,Street / Drop 01,nova-halo-hoodie,NOVA Halo Hoodie,Hoodie,Black / Bone / Grey,On model,nova-halo-hoodie-02-model.png,2
5,Street / Drop 01,nova-halo-hoodie,NOVA Halo Hoodie,Hoodie,Black / Bone / Grey,Detail / third shot,nova-halo-hoodie-03-detail.png,3
6,Street / Drop 01,nova-onyx-hoodie,NOVA Onyx Hoodie,Hoodie,Charcoal / Black / Bone,Studio product,nova-onyx-hoodie-01-studio.png,1
6,Street / Drop 01,nova-onyx-hoodie,NOVA Onyx Hoodie,Hoodie,Charcoal / Black / Bone,On model,nova-onyx-hoodie-02-model.png,2
6,Street / Drop 01,nova-onyx-hoodie,NOVA Onyx Hoodie,Hoodie,Charcoal / Black / Bone,Detail / third shot,nova-onyx-hoodie-03-detail.png,3
7,Street / Drop 01,nova-drift-hoodie,NOVA Drift Hoodie,Hoodie,Grey / Charcoal,Studio product,nova-drift-hoodie-01-studio.png,1
7,Street / Drop 01,nova-drift-hoodie,NOVA Drift Hoodie,Hoodie,Grey / Charcoal,On model,nova-drift-hoodie-02-model.png,2
7,Street / Drop 01,nova-drift-hoodie,NOVA Drift Hoodie,Hoodie,Grey / Charcoal,Detail / third shot,nova-drift-hoodie-03-detail.png,3
8,Street / Drop 01,nova-signature-tee,NOVA Signature Tee,T-Shirt,Black / Sand,Studio product,nova-signature-tee-01-studio.png,1
8,Street / Drop 01,nova-signature-tee,NOVA Signature Tee,T-Shirt,Black / Sand,On model,nova-signature-tee-02-model.png,2
8,Street / Drop 01,nova-signature-tee,NOVA Signature Tee,T-Shirt,Black / Sand,Detail / third shot,nova-signature-tee-03-detail.png,3
9,Street / Drop 01,nova-prism-tee,NOVA Prism Tee,T-Shirt,Off White / Black / Sand,Studio product,nova-prism-tee-01-studio.png,1
9,Street / Drop 01,nova-prism-tee,NOVA Prism Tee,T-Shirt,Off White / Black / Sand,On model,nova-prism-tee-02-model.png,2
9,Street / Drop 01,nova-prism-tee,NOVA Prism Tee,T-Shirt,Off White / Black / Sand,Detail / third shot,nova-prism-tee-03-detail.png,3
10,Street / Drop 01,nova-nomad-tee,NOVA Nomad Tee,T-Shirt,Off White / Black / Sand,Studio product,nova-nomad-tee-01-studio.png,1
10,Street / Drop 01,nova-nomad-tee,NOVA Nomad Tee,T-Shirt,Off White / Black / Sand,On model,nova-nomad-tee-02-model.png,2
10,Street / Drop 01,nova-nomad-tee,NOVA Nomad Tee,T-Shirt,Off White / Black / Sand,Detail / third shot,nova-nomad-tee-03-detail.png,3
11,Street / Drop 01,nova-vertex-tee,NOVA Vertex Tee,T-Shirt,Off White / Black / Sand,Studio product,nova-vertex-tee-01-studio.png,1
11,Street / Drop 01,nova-vertex-tee,NOVA Vertex Tee,T-Shirt,Off White / Black / Sand,On model,nova-vertex-tee-02-model.png,2
