Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Image,Image Src,Image Position,Image Alt Text,Status,Metafield: custom.badge [single_line_text_field],Metafield: custom.product_story [multi_line_text_field],Metafield: custom.product_3d_model [single_line_text_field],Metafield: custom.color_data [json],Metafield: custom.catalogue_index [number_integer]
nova-oversized-hoodie,NOVA Oversized Hoodie,"<p>A 420 GSM brushed fleece hoodie. Dropped shoulder set four centimetres past the natural line, weighted ribbed hem and cuffs, kangaroo pocket, and a two-panel hood that holds its shape.</p><p>Made in small batches, so no two pieces read exactly alike.</p>",NØVA,Hoodie,"street, unisex, limited",TRUE,Color,Grey,Size,XS,NOVA-001-GRE-XS,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,1,NOVA Oversized Hoodie — Grey,active,LIMITED,Milled in Tiruppur. The shoulder is drafted four centimetres past the natural line so the silhouette falls rather than clings.,hoodie,"[{""name"":""Grey"",""swatch"":""#8A8C92"",""art"":""nova-hoodie-grey""},{""name"":""Charcoal"",""swatch"":""#2C2D32"",""art"":""nova-hoodie-charcoal""},{""name"":""Black"",""swatch"":""#131316"",""art"":""nova-hoodie-black""}]",1
nova-oversized-hoodie,,,,,,,Color,Grey,Size,S,NOVA-001-GRE-S,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,2,NOVA Oversized Hoodie — Charcoal,,,,,,
nova-oversized-hoodie,,,,,,,Color,Grey,Size,M,NOVA-001-GRE-M,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-black.png,3,NOVA Oversized Hoodie — Black,,,,,,
nova-oversized-hoodie,,,,,,,Color,Grey,Size,L,NOVA-001-GRE-L,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Grey,Size,XL,NOVA-001-GRE-XL,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Grey,Size,XXL,NOVA-001-GRE-XXL,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Charcoal,Size,XS,NOVA-001-CHA-XS,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Charcoal,Size,S,NOVA-001-CHA-S,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Charcoal,Size,M,NOVA-001-CHA-M,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Charcoal,Size,L,NOVA-001-CHA-L,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Charcoal,Size,XL,NOVA-001-CHA-XL,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Charcoal,Size,XXL,NOVA-001-CHA-XXL,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Black,Size,XS,NOVA-001-BLA-XS,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-black.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Black,Size,S,NOVA-001-BLA-S,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-black.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Black,Size,M,NOVA-001-BLA-M,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-black.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Black,Size,L,NOVA-001-BLA-L,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-black.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Black,Size,XL,NOVA-001-BLA-XL,shopify,18,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-black.png,,,,,,,,,
nova-oversized-hoodie,,,,,,,Color,Black,Size,XXL,NOVA-001-BLA-XXL,shopify,0,deny,manual,4399.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-black.png,,,,,,,,,
nova-atlas-hoodie,NOVA Atlas Hoodie,"<p>A 420 GSM brushed fleece hoodie. Dropped shoulder set four centimetres past the natural line, weighted ribbed hem and cuffs, kangaroo pocket, and a two-panel hood that holds its shape.</p><p>Made in small batches, so no two pieces read exactly alike.</p>",NØVA,Hoodie,"street, unisex",TRUE,Color,Grey,Size,XS,NOVA-002-GRE-XS,shopify,60,deny,manual,3599.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,1,NOVA Atlas Hoodie — Grey,active,,Milled in Tiruppur. The shoulder is drafted four centimetres past the natural line so the silhouette falls rather than clings.,hoodie,"[{""name"":""Grey"",""swatch"":""#8A8C92"",""art"":""nova-hoodie-grey""},{""name"":""Charcoal"",""swatch"":""#2C2D32"",""art"":""nova-hoodie-charcoal""}]",2
nova-atlas-hoodie,,,,,,,Color,Grey,Size,S,NOVA-002-GRE-S,shopify,60,deny,manual,3599.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,2,NOVA Atlas Hoodie — Charcoal,,,,,,
nova-atlas-hoodie,,,,,,,Color,Grey,Size,M,NOVA-002-GRE-M,shopify,60,deny,manual,3599.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,,,,,,,,,
nova-atlas-hoodie,,,,,,,Color,Grey,Size,L,NOVA-002-GRE-L,shopify,60,deny,manual,3599.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,,,,,,,,,
nova-atlas-hoodie,,,,,,,Color,Grey,Size,XL,NOVA-002-GRE-XL,shopify,60,deny,manual,3599.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,,,,,,,,,
nova-atlas-hoodie,,,,,,,Color,Grey,Size,XXL,NOVA-002-GRE-XXL,shopify,60,deny,manual,3599.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-grey.png,,,,,,,,,
nova-atlas-hoodie,,,,,,,Color,Charcoal,Size,XS,NOVA-002-CHA-XS,shopify,60,deny,manual,3599.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,,,,,,,,,
nova-atlas-hoodie,,,,,,,Color,Charcoal,Size,S,NOVA-002-CHA-S,shopify,60,deny,manual,3599.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,,,,,,,,,
nova-atlas-hoodie,,,,,,,Color,Charcoal,Size,M,NOVA-002-CHA-M,shopify,60,deny,manual,3599.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,,,,,,,,,
nova-atlas-hoodie,,,,,,,Color,Charcoal,Size,L,NOVA-002-CHA-L,shopify,60,deny,manual,3599.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,,,,,,,,,
nova-atlas-hoodie,,,,,,,Color,Charcoal,Size,XL,NOVA-002-CHA-XL,shopify,60,deny,manual,3599.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,,,,,,,,,
nova-atlas-hoodie,,,,,,,Color,Charcoal,Size,XXL,NOVA-002-CHA-XXL,shopify,0,deny,manual,3599.00,,TRUE,TRUE,https://raw.githubusercontent.com/Shivam3-max/nova/main/import/images/nova-hoodie-charcoal.png,,,,,,,,,
